Team,Home/Away,Opp,MP_G,FG_G,FGA_G,FG%_G,3P_G,3PA_G,3P%_G,FT_G,FTA_G,FT%_G,ORB_G,DRB_G,TRB_G,AST_G,STL_G,BLK_G,TOV_G,PF_G,PTS_G,GmSc,Plus/Minus_G,W/L_Margin,Season,Ttl_MP_Sn,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,ValORP,Avg_MP_Sn,FG_Sn,FGA_Sn,FG%_Sn,3P_Sn,3PA_Sn,3P%_Sn,2P_Sn,2PA_Sn,2P%_Sn,eFG%_Sn,FT_Sn,FTA_Sn,FT%_Sn,ORB_Sn,DRB_Sn,TRB_Sn,AST_Sn,STL_Sn,BLK_Sn,TOV_Sn,PF_Sn,PTS_Sn
DAL,Home,OKC,99,99,99,99.0,99,99,99.0,99,99,99.0,99,99,99,99,99,99,99,99,99,99.0,99,2,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Away,OKC,9,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,2,2,-0.1,-1,-20,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Away,CHO,12,1,6,0.167,0,2,0.0,0,0,0.0,0,0,0,4,0,0,0,1,2,0.6,9,38,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Away,BOS,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,-6,-21,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Away,PHI,25,4,14,0.286,1,3,0.333,4,4,1.0,1,10,11,8,1,0,2,0,13,13.1,9,-6,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Home,LAL,99,99,99,99.0,99,99,99.0,99,99,99.0,99,99,99,99,99,99,99,99,99,99.0,99,-10,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Home,PHO,14,3,6,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,1,7,3.3,-3,10,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Away,MIN,16,3,4,0.75,3,3,1.0,0,0,0.0,0,0,0,2,1,0,0,2,9,9.0,-4,4,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Home,GSW,29,3,10,0.3,2,3,0.667,4,4,1.0,1,3,4,1,0,1,2,4,12,5.6,0,-5,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Home,SAS,20,3,6,0.5,0,2,0.0,0,0,0.0,0,1,1,3,0,0,2,1,6,3.0,-10,-4,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Away,IND,21,5,9,0.556,1,3,0.333,1,1,1.0,0,3,3,4,0,0,2,1,12,9.0,-10,-12,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Away,MIL,29,6,15,0.4,2,3,0.667,2,2,1.0,0,3,3,5,0,0,1,3,16,10.1,-12,-10,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Home,LAC,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1,8,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Home,DET,99,99,99,99.0,99,99,99.0,99,99,99.0,99,99,99,99,99,99,99,99,99,99.0,99,5,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
DAL,Home,TOR,5,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4,4.4,0,-3,2018-19,1591.0,12.7,0.549,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-1.2,-0.5,-1.7,0.1,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
